EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Titan Wolves,TW Nova,3,2,14,13985,32482,19999,16.7,81,76,17,5550,Titan Wolves
Titan Wolves,TW Rex,3,2,11,12449,28426,22311,17.7,82,86,46,5730,Titan Wolves
Titan Wolves,TW Luna,8,3,12,12685,27983,18113,18.8,87,78,35,6656,Titan Wolves
Titan Wolves,TW Kai,2,1,13,13629,32143,19434,20.6,87,81,46,4685,Titan Wolves
Titan Wolves,TW Echo,3,4,12,13791,26664,22180,21.9,72,87,63,4879,Titan Wolves
Crimson Dragons,CD Ryu,5,4,4,11207,21539,24376,17.1,70,70,26,2072,
Crimson Dragons,CD Fang,3,5,9,12358,18152,21393,18.9,59,73,49,1074,
Crimson Dragons,CD Kiro,4,7,5,11286,25105,24431,19.4,62,69,44,2961,
Crimson Dragons,CD Nox,3,4,5,12763,22256,22763,20.0,64,73,16,3926,
Crimson Dragons,CD Vale,2,5,3,10994,21839,25871,22.1,56,61,51,3323,
