EQUIPO,JUGADOR,DÑO infligido,DÑO recibido,Oro total,Participación,Eliminaciones,Muertes,Asistencias,Control de masas,DÑO a las torres,GANADOR
Sideral Carrion,ɴᴏᴛ_ʜᴀᴀᴀʀᴘᴇʀ,48000,90700,6600,100,0,1,5,12,1200,Solowins
Sideral Carrion,Fano!法诺,32300,111300,8200,60,0,4,3,11,0,
Sideral Carrion,OttoSensei,94000,81000,7500,100,5,4,0,2,1800,
Sideral Carrion,弓°tsuki•,68900,54600,8600,60,0,4,3,1,1100,
Sideral Carrion,kisho~Arima™ ,32900,70400,6600,20,0,1,1,6,0,
Solowins,Alfredios,58500,62600,7300,92,0,2,13,33,1100,
Solowins,xYesoo,8700,33800,11600,92,7,0,6,3,31200,
Solowins,Alejo~,76700,86500,10100,64,4,0,5,7,9000,
Solowins,BrainyBaiQio,41000,64900,9700,64,0,2,9,17,5900,
Solowins,xstrawberry_^-^,144700,28200,8500,100,3,1,11,33,4400,
