EQUIPO,JUGADOR,DÑO infligido,DÑO recibido,Oro total,Participación,Eliminaciones,Muertes,Asistencias,Control de masas,DÑO a las torres,GANADOR
Sideral Carrion,ɴᴏᴛ_ʜᴀᴀᴀʀᴘᴇʀ,78000,46200,7900,75,0,2,3,1,0,Solowins
Sideral Carrion,Fano!法诺,39300,84100,6200,100,3,4,1,7,0,
Sideral Carrion,OttoSensei,64400,32200,6800,50,0,3,2,33,0,
Sideral Carrion,弓°tsuki•,37700,103300,5500,100,0,3,4,17,0,
Sideral Carrion,kisho~Arima™ ,27000,70900,5900,75,1,2,2,6,937,
Solowins,Alfredios,51600,66400,6300,85,1,3,11,28,2900,
Solowins,xYesoo,94100,31000,9900,92,4,0,9,3,28000,
Solowins,Alejo~,99700,84300,11300,100,5,0,9,11,6700,
Solowins,BrainyBaiQio,31100,42900,8200,35,2,0,3,10,5100,
Solowins,xstrawberry_^-^,60200,21900,6600,64,2,1,7,9,218,
