EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Titan Wolves,TW Nova,4,1,9,12706,24713,16239,16.4,88,88,49,4940,Titan Wolves
Titan Wolves,TW Rex,6,2,8,14115,30438,21543,18.1,70,84,22,5287,Titan Wolves
Titan Wolves,TW Luna,3,2,9,13575,28385,22583,18.6,88,82,45,5906,Titan Wolves
Titan Wolves,TW Kai,7,2,7,14319,33533,19205,20.7,85,82,43,5746,Titan Wolves
Titan Wolves,TW Echo,7,2,10,12867,28463,19784,22.5,85,92,41,4397,Titan Wolves
Solar Kings,SK Blaze,2,4,4,11689,25452,24337,16.9,73,60,15,3100,
Solar Kings,SK Orion,1,5,3,11526,21323,22392,18.6,52,67,18,2466,
Solar Kings,SK Ares,2,5,5,12101,16921,23469,18.9,61,64,56,1324,
Solar Kings,SK Mio,1,6,8,11755,18382,25104,20.2,57,65,22,1451,
Solar Kings,SK Zen,4,5,9,12657,21345,24872,21.1,67,72,51,4014,
